ts,216,1300,2483,2947,3215,4488,5468,6264,7330,CF_216,CF_5468,CF_2947,CF_2483,CF_1300,CF_3215,CF_6264,CF_4488,CF_7330
2018-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22,2.5,5.7,10.2,6.1000000000000005,1.4,6.6000000000000005,0.5,5.3,3.2,2.5,0.5,6.1000000000000005,10.2,5.7,1.4,5.3,6.6000000000000005,3.2
2018-04-23,1.1,1.3,0.6,0.9,0.0,0.6000000000000001,0.4,0.7000000000000001,1.7,3.6,0.9,7.000000000000001,10.799999999999999,7.0,1.4,6.0,7.200000000000001,4.9
2018-04-24,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.6,0.9,7.000000000000001,10.799999999999999,7.1,1.4,6.1,7.200000000000001,4.9
2018-04-25,1.6,4.0,2.4000000000000004,1.3,0.1,1.2999999999999998,0.1,3.7,6.3,5.2,1.0,8.3,13.2,11.1,1.5,9.8,8.5,11.2
2018-04-26,3.7,10.7,6.5,3.6,3.7,7.7,1.8,4.9,8.700000000000001,8.9,2.8,11.9,19.7,21.799999999999997,5.2,14.700000000000001,16.2,19.9
2018-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,2.8,11.9,19.7,21.799999999999997,5.2,14.700000000000001,16.2,19.9
2018-04-28,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,8.9,2.8,11.9,19.8,21.799999999999997,5.5,14.700000000000001,16.2,19.9
2018-04-29,1.1,1.4,1.0,0.8,0.2,0.5,1.3,1.3,0.8,10.0,4.1,12.700000000000001,20.8,23.199999999999996,5.7,16.0,16.7,20.7
2018-04-30,1.2,0.8,0.8,0.7,0.1,0.5,3.1,0.2,0.30000000000000004,11.2,7.199999999999999,13.4,21.6,23.999999999999996,5.8,16.2,17.2,21.0
2018-05-01,2.2,2.0,0.4,1.0,0.0,0.30000000000000004,0.6000000000000001,0.0,1.4,13.399999999999999,7.799999999999999,14.4,22.0,25.999999999999996,5.8,16.2,17.5,22.4
2018-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.399999999999999,7.799999999999999,14.4,22.0,25.999999999999996,5.8,16.2,17.5,22.4
